session;created;modified;ended;expired;datenschutz;tfe_tfe_01;tfe_tfe_02;tfe_tfe_03;tfe_tfe_04;tfe_tfe_05;tfe_tfe_06;tfe_tfe_07;tfe_tfe_08;tfe_tfe_09;tfe_tfe_10;tfe_tfe_11;tfe_tfe_12;tfe_did_01;tfe_did_02;tfe_did_03;tfe_did_04;tfe_did_05;tfe_did_06;tfe_did_07;tfe_did_08;tfe_did_09;tfe_did_10;tfo_tfo_01;tfo_tfo_02;tfo_tfo_03;tfo_tfo_04;tfo_tfo_05;tfo_tfo_06;tfo_tfo_07;tfo_tfo_08;tfo_tfo_09;tfo_sel_01;tfo_sel_02;tfo_sel_03;tfo_sel_04;tfo_sel_05;tfo_sel_06;tfo_sel_07;tfo_sel_08;tfo_sel_09;tfo_enr_01;tfo_enr_02;tfo_enr_03;tfo_enr_04;tfo_enr_05;tfo_enr_06;tfo_enr_07;tfo_enr_08;tfo_enr_09;tfo_ada_01;tfo_ada_02;tfo_ada_03;tfo_ada_04;tfo_ada_05;tfo_ada_06;tfo_ada_07;tfo_ada_08;tfo_ada_09;rel_rel_01;rel_rel_02;rel_rel_03;rel_rel_04;rel_rel_05;rel_rel_06;rel_rel_07;rel_rel_08;rel_rel_09;standort;standort_other;semester;lehramt;lehramt_other;fach;fach_other
WQ2_C-RUFgpO3beQDskeFpKSmKfmvRYvUc4UtKsEFf3NNpNdNl7M7lXKBwjogzOd;14.01.2019 18:18;14.01.2019 18:20;14.01.2019 18:20;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;2;;;
WQ2_C-RUFgpO3beQDskeFpKSmKfmvRYvUc4UtKsEFf3NNpNdNl7M7lXKBwjogzOd;14.01.2019 18:20;14.01.2019 18:22;14.01.2019 18:22;;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1;;1;1;;;
1IvFokZLh4EPXJA9kHwa5v6ClzyR4o22EbXuApkWwUTGe0BUL2ZLGlHE0VrxgxD7;14.01.2019 18:21;14.01.2019 18:21;;;;;;;;;;;2;;;1;;;;;;3;3;;;;;2;2;;;;;;;5;4;2;;;;4;;;;;6;;;;;;4;5;;;5;;;;6;;5;;;;;;;;;;;;;;;;
WQ2_C-RUFgpO3beQDskeFpKSmKfmvRYvUc4UtKsEFf3NNpNdNl7M7lXKBwjogzOd;14.01.2019 18:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aw24tDql5mwOs119HqhrQaLKMquwerVIQJg4MGg-7cht5ezpyk3jvra3iQcrC55e;14.01.2019 18:25;14.01.2019 18:28;14.01.2019 18:28;;1;4;3;3;3;4;4;3;3;3;4;2;3;3;3;6;3;3;4;3;3;4;3;3;3;4;4;4;3;3;4;4;3;3;4;3;4;3;3;3;4;3;3;4;4;4;2;4;4;3;4;3;4;4;3;2;4;3;4;3;3;3;3;3;3;3;4;2;6;asdfadf;14;1;;;
Aw24tDql5mwOs119HqhrQaLKMquwerVIQJg4MGg-7cht5ezpyk3jvra3iQcrC55e;14.01.2019 18:28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cautiousRoseateSpoonbillXXX93D4nYflvfme7o68DbiGPY0sT9dfAna7tdA0N;14.01.2019 18:30;14.01.2019 18:31;14.01.2019 18:31;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;;;
cautiousRoseateSpoonbillXXX93D4nYflvfme7o68DbiGPY0sT9dfAna7tdA0N;14.01.2019 18:34;14.01.2019 18:35;14.01.2019 18:35;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;;;
doubtfulKoalaXXXdXwM5_6T0Wmhb_9OJcloY9o75YJQ1GhdQI9Glw6VsfTTuy52;14.01.2019 18:35;14.01.2019 18:35;14.01.2019 18:35;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;;;
doubtfulKoalaXXXdXwM5_6T0Wmhb_9OJcloY9o75YJQ1GhdQI9Glw6VsfTTuy52;14.01.2019 18:37;14.01.2019 18:37;14.01.2019 18:37;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;;;
yVRSpPcdVe2DoMIgfQszqxPRj_AquJb3ej0ML6GTSiF2hGDjp0Df_x0eV6-Uh4DE;14.01.2019 19:48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
famousCentipedeXXXRZCiXcWlbmkFTj8XS8avzo60EMOH1IC8X3ro1-OkBmmByK;15.01.2019 12:34;15.01.2019 12:35;15.01.2019 12:35;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;;2;2;;;
famousCentipedeXXXRZCiXcWlbmkFTj8XS8avzo60EMOH1IC8X3ro1-OkBmmByK;15.01.2019 12:36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tGpQNl2VPfGqGcPgL81KNYGQtUpfy8ts-KYO3i2BvWM4-eoWEl8V1HLnPCQbKIa5;25.01.2019 07:56;25.01.2019 08:08;25.01.2019 08:08;;1;3;1;1;1;1;2;2;2;2;3;1;4;3;1;2;2;2;3;5;5;3;2;1;5;1;1;3;3;6;5;4;5;5;5;3;5;3;2;2;5;6;4;3;3;6;4;6;5;5;4;4;5;4;4;2;3;5;6;4;5;6;6;6;6;3;5;5;2;;50;5;;51;
tGpQNl2VPfGqGcPgL81KNYGQtUpfy8ts-KYO3i2BvWM4-eoWEl8V1HLnPCQbKIa5;28.01.2019 08:43;28.01.2019 08:43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUP34EkrMGLOQfODz5jogoCK2W9FieYH_E4v4WjoHuQ9uKxHBeDsjVW2AnV_a-K9;28.01.2019 08:52;28.01.2019 09:48;28.01.2019 09:48;;1;3;3;5;4;2;5;5;5;5;5;2;2;5;4;5;4;4;3;4;5;4;5;5;4;4;5;5;3;5;4;6;5;4;5;4;4;4;5;5;5;5;5;5;5;5;5;4;4;5;4;4;5;4;5;5;3;4;4;2;4;5;2;2;5;2;6;5;2;;7;5;;51;
DN2yhqvUMXnhX3MLB1j8jH3BK-MtCJ6z5zW17cBozJaYYGH1u5qYLyrTq6LArVHP;28.01.2019 08:56;28.01.2019 15:59;28.01.2019 15:59;;1;2;2;2;2;2;1;2;1;1;1;5;5;2;4;2;4;2;5;6;6;3;1;4;5;3;3;5;5;2;6;2;4;6;4;5;4;5;5;4;4;2;2;4;2;6;5;1;5;2;4;3;2;4;4;5;4;5;2;4;6;5;2;2;3;2;6;4;2;;5;5;;51;
xvCLhUX7vWHfOy1lelUiJrSOVDFH3LsayYOJZKwJuycz9Z0fyL3tnJNnDgu6RBNh;28.01.2019 08:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cW3I_J9jvJ6bX031wR2ZwtbrOLTha96asb1AJaT7WQZXTZiVs1PfEVjYGLHD8GHA;28.01.2019 08:58;28.01.2019 09:10;28.01.2019 09:10;;1;4;2;2;4;2;2;4;3;2;2;3;3;4;3;4;4;3;5;5;6;5;3;5;6;4;5;5;5;5;6;5;6;5;5;5;5;5;5;4;4;6;6;6;6;6;6;6;6;5;6;6;4;5;5;4;6;5;4;5;6;6;6;2;6;2;4;5;2;;5;5;;51;
UCMuEvZUyuT0Tr23drM8PRuQB1DOELnVR0BksZgBhEcpGaRWcuDYstftaYGCGYWL;28.01.2019 08:59;28.01.2019 09:16;28.01.2019 09:16;;1;;3;3;3;2;3;4;4;3;4;3;4;4;3;5;5;4;3;4;5;5;2;;;3;4;;;5;5;3;4;4;4;5;;5;5;5;3;4;4;5;4;3;5;4;4;;4;4;4;5;6;3;3;2;4;3;4;5;4;4;4;3;5;5;2;;6;5;;51;
fJOzWOnoSY89byVJg_SzvvxVRlf-X-b2Q5x-nAMTIVT04Qi9pJF5Itnqjt7z0ECt;28.01.2019 10:24;28.01.2019 12:08;28.01.2019 12:08;;1;3;4;4;4;2;3;2;5;4;3;2;5;5;4;4;4;3;5;5;5;5;6;5;5;2;4;5;4;5;5;5;5;5;4;4;4;6;4;3;5;6;4;4;4;4;4;4;3;6;4;3;3;3;4;4;4;5;4;5;6;5;4;2;6;5;6;4;2;;9;5;;51;
mg72_iy69iz6IuWj4LR_kYCDScuymyxSRdpraCsIAw1jQBOU9g5xB8WC47jB1jTJ;28.01.2019 10:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1ai__nFjaZBLEXaKlbjLEJpRIx3eIK2AkOXQErW_aSsPrhwT1jmRbOrpgrLdk8MI;28.01.2019 10:45;28.01.2019 11:00;28.01.2019 11:00;;1;3;2;5;5;2;1;1;2;1;1;2;1;5;4;2;5;2;6;2;6;6;2;4;4;3;5;5;4;5;6;6;4;5;4;5;2;6;6;5;4;6;6;6;4;2;3;5;5;6;6;5;6;6;4;6;3;2;1;3;5;6;1;1;6;4;6;5;2;;6;5;;50, 51;
1ai__nFjaZBLEXaKlbjLEJpRIx3eIK2AkOXQErW_aSsPrhwT1jmRbOrpgrLdk8MI;28.01.2019 11:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tCmcRsjmhgq8WC4btD0twgh3RHoYQ2-S1fXa5Fq_nuxlHGEutrxaeQl9A2Ml-Xoh;28.01.2019 11:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZFO0-nTXZwhK6H6VHj-sb7LdncEpvRAt-OzXVsyx6YF0gjBBFFgzyEgI5fSaAKB5;28.01.2019 11:25;28.01.2019 11:46;28.01.2019 11:46;;1;5;4;3;4;1;2;2;2;1;1;2;5;4;4;5;4;1;2;2;4;6;3;3;6;3;3;6;4;1;5;1;4;5;5;4;5;5;5;4;5;3;2;2;4;3;5;4;5;1;5;5;5;5;4;3;5;4;4;4;6;5;5;4;5;4;6;6;2;;6;5;;51;
gN12tItiYoThna1a8y_1SJAzadKaIhD2_BJ4DUOKZBH6-gtv0a3wF9nvXAFdpXPi;28.01.2019 11:28;28.01.2019 11:42;28.01.2019 11:42;;1;2;4;1;2;1;1;1;4;1;4;3;5;4;2;2;4;1;2;6;6;5;1;3;6;4;4;5;5;5;4;4;5;5;5;5;6;6;3;4;3;6;2;5;5;3;5;3;6;6;5;4;4;5;5;5;5;4;4;3;5;5;2;3;4;6;6;4;2;;5;5;;51;
0foqkcwrfILDyhS40L-W4gfgjTqEFssx1aF7iliVUsbL2zxMoLU__V58SF4c4rnt;28.01.2019 11:41;28.01.2019 12:00;28.01.2019 12:00;;1;5;5;4;5;1;5;3;3;1;1;2;3;3;2;3;4;3;2;5;6;4;1;5;4;4;5;5;5;6;6;4;6;5;5;4;6;5;5;4;6;5;3;6;6;5;6;6;5;6;5;5;5;4;4;2;6;4;5;2;5;6;1;1;6;1;6;6;2;;5;5;;51;
KUs3su1hJZ_GTA2cPz-5l_gyq-4EKh8QC-YiY1iX59nOIzYOBSNPBJmdlopX5CI-;28.01.2019 11:51;28.01.2019 12:06;28.01.2019 12:06;;1;3;3;4;3;2;2;3;4;4;1;2;4;5;5;4;3;4;3;4;4;4;2;3;5;5;5;5;3;4;4;3;5;6;5;5;6;6;6;5;6;3;3;5;3;4;3;5;5;4;5;6;3;5;6;4;5;5;;5;6;4;4;2;3;2;5;6;2;;5;5;;51;
2cJorl7k7eJnayIcU0761rhkpEObrA53rvDjg7tGod69q6Omnay-PwWXbL-o9kWf;28.01.2019 12:05;28.01.2019 12:16;28.01.2019 12:16;;1;4;3;3;3;2;1;2;2;2;2;2;5;3;5;4;3;3;2;3;4;4;3;5;3;4;4;4;3;5;4;1;4;5;5;6;6;6;3;6;6;6;5;6;6;6;6;6;6;6;2;6;3;6;2;2;6;3;6;2;5;5;1;1;6;3;5;4;2;;7;5;;51;
KUs3su1hJZ_GTA2cPz-5l_gyq-4EKh8QC-YiY1iX59nOIzYOBSNPBJmdlopX5CI-;28.01.2019 12:07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EBiP8xv4OUFevg_vXu-wlJ3QiGo3KlC3OcW5Nv4ZKKw6OpGCH38IMZ8i5EoHJFp5;28.01.2019 13:00;28.01.2019 13:15;28.01.2019 13:15;;1;5;2;3;3;1;1;1;1;1;1;1;2;2;2;2;2;1;4;2;4;3;2;1;5;3;3;2;3;4;6;1;5;6;6;5;5;6;5;6;3;5;6;6;6;6;4;2;6;6;6;5;6;6;5;6;2;3;6;3;6;6;2;2;6;3;6;5;2;;5;5;;50, 51;
PZqOy0mWsw6GTiHxmvW-mEQvGNjak87TQoWc8QZV3cKFtv-d4GWOl9lNwU0fuerG;28.01.2019 13:17;28.01.2019 13:36;28.01.2019 13:36;;1;4;2;3;4;1;5;1;1;1;1;1;2;5;2;2;2;1;5;5;2;3;3;2;5;2;2;6;2;4;4;3;2;6;4;5;5;3;3;5;3;3;5;5;2;1;5;1;4;2;6;4;4;4;4;4;6;1;6;1;4;6;5;2;5;1;4;4;2;;5;5;;51;
zlgvmULpHwDMnmHgk3TG-7XQpAwH2RnFLARCnOczF4C9O20fKPny6uaUEMkbbjBK;28.01.2019 13:18;28.01.2019 13:34;28.01.2019 13:34;;1;5;2;2;4;1;1;1;1;1;1;1;1;4;3;4;4;1;5;5;6;4;1;5;6;6;5;5;3;4;3;2;5;6;3;5;5;6;5;4;5;6;4;5;4;2;6;5;3;1;3;4;4;4;4;2;6;4;4;1;6;6;1;2;6;5;4;6;2;;5;5;;51;
q5m-huyCA1nyiBbjZeQ6yaLsi_ijqQUYEJ0mXJlpc0oysGW-FJ4Zoa7ysMWjPeWx;28.01.2019 13:51;28.01.2019 15:46;28.01.2019 15:46;;1;2;1;2;2;1;2;2;2;2;3;3;4;3;4;4;4;2;4;2;5;;2;3;4;4;3;5;3;3;4;3;5;5;4;5;5;6;4;4;3;4;2;5;5;2;3;3;2;4;3;;3;4;5;4;5;4;5;2;4;5;2;3;4;4;6;4;2;;7;5;;51;
11Lc6BI8jcjYWrhB3m4FJ_cIiFHFBdFUJivqriQkBkE_aW5DTYx7hBGVlEM1U9G6;28.01.2019 15:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
q5m-huyCA1nyiBbjZeQ6yaLsi_ijqQUYEJ0mXJlpc0oysGW-FJ4Zoa7ysMWjPeWx;28.01.2019 15:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DN2yhqvUMXnhX3MLB1j8jH3BK-MtCJ6z5zW17cBozJaYYGH1u5qYLyrTq6LArVHP;28.01.2019 15:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC1iYwH4QLBheNVyF2FavYB024_CUUWHZWGjyPIksa_Z7j0b9SUEf4QS3514CWOu;28.01.2019 19:45;28.01.2019 19:52;28.01.2019 19:52;;1;4;2;3;4;1;4;4;4;2;2;2;4;3;4;4;4;4;1;5;6;5;4;5;5;5;4;4;4;3;5;4;4;6;4;5;4;5;5;4;3;5;4;5;4;6;6;5;5;6;4;5;6;4;3;3;6;3;5;4;5;4;4;3;4;4;4;4;2;;5;5;;51;
oOBRfy8EP0M28imijXTwkdZDsG7T2eet7NitbDOzziCtsWvy_ZILseP1w6ko5Lll;28.01.2019 19:45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Hl63_lEimwTy1q3rn-L0KWu5wSDgyfJs3c2FBgdnSu-96wG83dXQRe80pQyU-5O;28.01.2019 21:00;28.01.2019 21:31;28.01.2019 21:31;;1;4;3;5;5;2;2;5;2;2;3;2;5;4;2;3;5;2;4;5;4;5;2;5;4;4;1;4;3;4;4;4;5;5;5;5;5;5;5;5;5;2;3;3;2;4;5;6;2;6;4;4;5;4;4;5;5;2;4;3;5;4;3;1;6;2;2;4;2;;5;5;;51;
ETjeCAMNWoYw4-edxqQXCk68PSxj9H9lPSqaBM0gqFFu4JSCl1uYoqWyGLPy0owC;29.01.2019 15:30;29.01.2019 15:50;29.01.2019 15:50;;1;2;4;2;3;2;2;2;1;4;2;1;2;2;3;2;4;2;3;1;5;1;3;2;4;3;2;3;5;3;4;2;3;5;5;2;4;6;1;4;3;2;2;3;5;4;5;2;4;4;4;5;4;5;4;2;1;1;5;1;4;4;1;1;6;3;4;4;2;;5;5;;51;
A8zyiC2AN0a9dZ4KAalu-um2z40l6FlJ9yz2zVdzUfhumzz7GSAUGFNKA-cZoPFV;29.01.2019 17:27;29.01.2019 17:45;29.01.2019 17:45;;1;2;2;2;3;1;1;1;1;1;1;2;5;5;5;4;4;1;2;2;5;5;1;4;5;4;3;4;4;5;6;4;2;4;4;5;3;5;4;4;5;5;5;6;6;3;1;2;5;4;4;4;4;3;6;4;4;2;5;3;5;6;2;1;6;2;6;5;2;;5;5;;51;
xeQDWBBUnYImz-OBRm7LTX-q4pxKDZixIJFbIl1vQgePWx1tgysKhJzUkJvjbNMx;30.01.2019 21:52;30.01.2019 22:10;30.01.2019 22:10;;1;3;1;1;1;1;1;1;1;1;1;1;1;3;1;1;3;3;4;1;;2;;2;1;1;1;6;1;1;1;1;6;6;1;4;4;6;6;6;1;1;3;1;3;2;3;1;4;2;1;4;;1;1;3;5;3;1;4;1;3;3;3;6;6;1;1;2;;8;5;;51;
EpHTWm-g6u9ML0-YIdxm3hju0mT54m5UM86KNx40g7FpTVmH8W5rKwvJu8Je1e1g;04.02.2019 14:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
xkjWKZ-su0zPl2KCPI_5DMeJB7giVP0bddx_ULmobPlcvpzhjaCXOMzsd77EGd5K;04.02.2019 14:35;04.02.2019 14:47;04.02.2019 14:47;;1;2;3;4;3;2;3;3;5;2;3;2;5;4;4;5;3;3;3;5;5;5;3;4;4;4;2;4;3;5;5;3;4;3;3;5;4;5;3;3;3;3;3;3;2;4;5;2;4;3;4;3;3;4;;3;5;3;4;4;4;5;4;3;5;3;4;4;2;;5;5;;51;
enZs1mlNoQpXHl2aTjQ2egbQQU2UiZA2t0im0Ou7oo4THxp9_PdDskv0CbYCW2HB;05.02.2019 11:15;05.02.2019 11:37;05.02.2019 11:37;;1;2;2;2;2;1;1;3;1;2;2;3;4;4;3;2;2;1;2;4;5;5;2;3;6;4;3;4;6;5;5;4;4;5;4;3;5;3;4;5;4;3;3;5;5;4;4;6;6;5;3;4;2;4;3;2;4;4;3;4;4;6;3;3;6;3;4;5;2;;7;5;;51;
enZs1mlNoQpXHl2aTjQ2egbQQU2UiZA2t0im0Ou7oo4THxp9_PdDskv0CbYCW2HB;05.02.2019 11:38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R8gNg1vmO2u1jNXTu1YTBnXs0AamTinokD9vO5WF-yxucQrH-p-hjhvjzZjR2FGW;11.02.2019 00:05;11.02.2019 00:14;11.02.2019 00:14;;1;5;1;3;2;1;1;1;2;1;1;1;4;2;2;4;2;5;1;4;5;5;1;4;3;2;3;5;3;2;5;2;5;5;5;5;6;6;5;6;5;6;3;3;1;3;5;5;5;5;2;3;4;4;4;5;5;5;5;3;5;6;4;1;5;2;6;5;2;;8;5;;50, 51;
R8gNg1vmO2u1jNXTu1YTBnXs0AamTinokD9vO5WF-yxucQrH-p-hjhvjzZjR2FGW;11.02.2019 00:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zPBH1DyoJxTQFZz594PnWehH9OLAzSoCOurEflVMW9ie0KxrBOchA1pU236JXfoM;13.02.2019 15:21;13.02.2019 15:55;13.02.2019 15:55;;1;3;5;4;5;2;1;3;2;2;2;3;3;2;5;5;4;3;6;5;5;5;2;5;6;5;3;5;4;5;6;2;5;6;4;4;4;5;6;5;2;5;5;5;3;4;6;6;5;6;5;3;2;3;5;6;2;5;5;3;5;5;2;2;4;2;5;6;2;;5;5;;51;
wlHJCPPuNOIj_BaHjjESXYdCSYTPpYomnT60-K1x9iboz3_R_VlwEXME54CM7qI8;08.03.2019 09:19;10.03.2019 09:09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACRc5EQlT8kbnG6fpPQ96cQ646y9_FipY8ggwy8-vyrcWBtsJovUoYHNKSpDKI8y;08.03.2019 10:44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
