session;created;modified;ended;expired;datenschutz;tfe_tfe_01;tfe_tfe_02;tfe_tfe_03;tfe_tfe_04;tfe_tfe_05;tfe_tfe_06;tfe_tfe_07;tfe_tfe_08;tfe_tfe_09;tfe_tfe_10;tfe_tfe_11;tfe_tfe_12;tfe_did_01;tfe_did_02;tfe_did_03;tfe_did_04;tfe_did_05;tfe_did_06;tfe_did_07;tfe_did_08;tfe_did_09;tfe_did_10;tfo_tfo_01;tfo_tfo_02;tfo_tfo_03;tfo_tfo_04;tfo_tfo_05;tfo_tfo_06;tfo_tfo_07;tfo_tfo_08;tfo_tfo_09;tfo_sel_01;tfo_sel_02;tfo_sel_03;tfo_sel_04;tfo_sel_05;tfo_sel_06;tfo_sel_07;tfo_sel_08;tfo_sel_09;tfo_enr_01;tfo_enr_02;tfo_enr_03;tfo_enr_04;tfo_enr_05;tfo_enr_06;tfo_enr_07;tfo_enr_08;tfo_enr_09;tfo_ada_01;tfo_ada_02;tfo_ada_03;tfo_ada_04;tfo_ada_05;tfo_ada_06;tfo_ada_07;tfo_ada_08;tfo_ada_09;rel_rel_01;rel_rel_02;rel_rel_03;rel_rel_04;rel_rel_05;rel_rel_06;rel_rel_07;rel_rel_08;rel_rel_09;standort;standort_other;semester;lehramt;lehramt_other;fach;fach_other
gni8wkz_zo_C7Rp4tmpDHgsTPHkHTHVli-znDq-q9HzQabjT4eGVsi_CVqTF-47v;10.03.2019 09:34;10.03.2019 10:25;10.03.2019 10:25;;1;2;3;3;2;1;1;2;1;2;1;2;5;4;5;4;5;2;4;3;4;4;2;4;4;4;4;4;4;3;6;3;5;5;6;4;5;3;2;4;4;5;3;5;4;3;5;6;5;5;4;5;5;5;5;5;6;4;6;1;4;5;2;1;6;1;5;5;1;;8;1;;12, 44;
X6pD6VYPK0vY36nkSGtY6OdgNAzZQqloZVhy2QuTanVwotY67138zDSDom6ArI24;10.03.2019 09:43;10.03.2019 10:13;10.03.2019 10:13;;1;2;2;4;3;1;1;4;2;2;1;2;3;4;4;2;5;2;4;3;3;5;4;5;4;2;2;4;4;2;3;4;5;3;4;2;4;3;5;4;2;3;3;5;3;6;3;3;6;4;4;3;4;4;5;3;4;4;6;3;4;3;4;1;5;2;4;3;1;;6;1;;31, 46;
7h9JnyiT2y1eV-aVaIqSQAwxrMzrji64u86n4dJ-803UbkY5oFr1JYshiUVwTpdi;10.03.2019 09:46;10.03.2019 10:03;10.03.2019 10:03;;1;4;2;2;3;1;4;5;1;1;1;1;6;4;4;2;4;1;2;1;5;4;1;5;5;2;6;3;5;5;6;3;5;5;5;4;4;5;6;5;5;2;2;4;5;6;4;3;6;5;5;5;5;5;6;4;6;1;5;5;5;5;6;5;6;4;6;5;1;;8;1;;4, 11, 12, 46;
osWq4aA0b1LQGVuIE1NFBYihIXmoJ8ZA6f9b_2JPe4icujEaEGX7uPXvmpc6dHH6;10.03.2019 10:02;10.03.2019 10:02;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FBfRV-DgpB4gn-vPXjM3tmSVVGr_h_fg71Gkd7YCtYaX4bevtSOJeR7-UfQsG7TT;10.03.2019 10:13;10.03.2019 10:23;10.03.2019 10:23;;1;4;2;2;2;1;1;3;2;2;2;2;2;3;2;4;3;1;3;4;5;3;1;4;5;4;3;3;4;4;5;2;5;4;4;5;5;4;4;4;3;5;5;5;5;5;4;5;5;4;4;3;4;5;5;5;4;3;4;5;3;5;2;4;5;4;3;4;1;;8;1;;4, 12, 39;
Eycp8jJaWJwCvZKe2KE-oAZCZhaEEaFNvIEEe9t2FHKw-IJ1QGjVVyJ1lUrq-60I;10.03.2019 10:16;10.03.2019 10:26;;;1;;3;;3;2;1;2;2;;1;;;2;4;2;3;2;2;;4;4;2;4;;;3;;4;5;5;3;4;4;;5;5;3;3;4;;5;5;5;5;4;4;;;2;5;5;4;5;;;5;4;5;2;5;6;4;;;5;4;5;;;;;;;
vQepOMec5EaONbzh3Ns3Xv5CBLDX9gXuSg8mXuVbRL_tP2-Lr4T5kCxiXHN9Zgig;10.03.2019 10:36;10.03.2019 10:54;10.03.2019 10:54;;1;4;2;2;3;1;1;1;1;4;2;2;1;2;2;2;1;1;2;5;6;3;2;3;6;2;2;3;3;3;6;6;6;5;5;6;4;4;3;5;2;6;3;6;5;4;4;5;5;3;6;4;6;6;4;4;5;5;5;4;5;6;3;1;6;1;6;5;1;;4;7;;4, 20;
e7_Vn6q0CPl6cBDCR_XHFJQ0g-oVCvnj4GG0ibywy5SgGHxjB679vfsMEesMlkxJ;10.03.2019 10:36;10.03.2019 10:36;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vQepOMec5EaONbzh3Ns3Xv5CBLDX9gXuSg8mXuVbRL_tP2-Lr4T5kCxiXHN9Zgig;10.03.2019 10:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JewucAPe5okGaBhb1Ld7uGSXgGq7Ub-vgIeDam8tLEJfQl4pBJO2gyJfcSa__TDw;10.03.2019 11:33;10.03.2019 11:54;10.03.2019 11:54;;1;3;3;3;3;2;2;3;3;2;2;1;5;3;3;3;4;3;4;4;4;4;2;3;2;3;3;4;3;4;4;2;5;5;5;4;5;5;4;5;5;3;2;3;3;2;5;5;5;4;4;3;;3;2;3;5;4;3;4;4;4;4;3;4;3;3;3;1;;8;1;;11, 12, 46;
PhSO0OXGv1fUb1VrjEqTobOl_obRyXs3PHfqraV16P1NR9CxbBnEEnmbaJ-X-EUO;10.03.2019 12:34;10.03.2019 12:48;10.03.2019 12:48;;1;2;2;3;3;2;2;4;3;1;2;3;2;3;3;4;4;3;4;4;5;4;2;4;3;4;4;5;3;3;5;3;5;5;5;5;4;6;5;5;4;4;3;4;3;3;5;4;4;4;5;4;4;4;3;4;5;3;4;3;5;5;3;4;4;2;4;5;1;;8;1;;12, 39;
iWOrb-0FducxQkbrP5OUP14ddi953kajOQHIWPgFuiEkmUn0Dj5FDQnSbH5Z0Q_I;10.03.2019 13:13;10.03.2019 13:13;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLfRovIZDLV5ZYxyTytVz5M9VHUqD24PaMDUqFH13sLW5AzuQ51t_9hYqKeMmC0Q;10.03.2019 13:31;10.03.2019 13:42;10.03.2019 13:42;;1;3;3;4;4;1;1;4;1;1;1;1;2;1;5;4;4;2;3;4;5;4;1;4;4;2;4;3;4;4;5;4;3;5;4;4;4;4;3;4;4;5;5;5;5;3;5;5;6;4;5;4;4;4;4;3;4;3;4;4;5;6;3;3;6;4;5;5;1;;8;1;;15, 31;
UODRp6DQHr284vjjUIy48XeBvAy-ZA8Wg5P567n5dKWIXaBC-DpT2SrVWNbk_NXa;10.03.2019 14:03;10.03.2019 22:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WnHojwcA8IUUv6jHQXFwFjtwj0vgDe5oDgJyrYO-1uPbSiRmIaFvnrV261Y5zgZp;10.03.2019 14:07;10.03.2019 14:24;10.03.2019 14:24;;1;3;2;2;3;1;1;1;1;1;1;2;3;3;3;5;2;1;3;3;6;5;1;5;4;5;5;4;6;5;6;5;4;4;4;4;5;2;4;4;2;6;4;5;5;6;6;6;6;6;4;5;4;4;6;4;4;1;5;2;5;6;1;2;6;2;6;6;1;;6;7;;4, 12, 31;
BeLm_fiq-Z-o47viYHJcivkyND88k1cpkW49PQiWPOMqqF3U-btZAh5BwujjLeHN;10.03.2019 15:47;10.03.2019 15:48;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aEsQm5Lclq3aEh3fd0SdZZNsgNy-veHCj_vSnXuISqElAy0IczxZuQ5COvwmajCx;10.03.2019 16:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pPqBiaRn1q_9qiys9QrivSPJgaGjg0AyBBiA11oG9-uNyZz1fOFAV53CNy0mH9rF;10.03.2019 17:06;10.03.2019 17:20;10.03.2019 17:20;;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;6;1;3;1;1;6;3;1;3;1;6;1;3;6;5;6;6;6;6;3;6;6;2;4;6;5;1;1;5;1;1;3;4;1;1;4;6;1;1;3;3;6;3;3;6;6;6;1;1;1;;12;1;;39;
Zu6SAqd7QWgw9MzsJ3F-0sHiS_OX0FPovtke2tCmfqB0tCqRRgHWmVGAid6tcWEq;10.03.2019 17:33;10.03.2019 17:45;10.03.2019 17:45;;1;3;2;2;2;1;2;4;1;3;3;2;3;2;3;2;4;3;3;6;3;2;5;4;3;5;5;4;4;2;5;5;3;4;5;3;5;5;5;3;3;5;3;3;4;5;4;4;6;6;5;2;2;5;1;5;5;3;3;6;4;3;5;4;4;6;4;4;1;;2;1;;12, 15;
u4WHLVXOBOGU-pei3XR0rNRCsswUJqr_VNGAYJGCt7S7papnaSyjwSsd3Km8spmJ;10.03.2019 17:37;10.03.2019 17:37;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Y1QHQT7GfJYXJuC8e47Ais7W6cEfHHWU-hDRVSHYKSyW9_kIPuDbAJ3LJVZ7NicL;10.03.2019 18:41;10.03.2019 18:52;10.03.2019 18:52;;1;4;4;3;4;1;5;4;2;1;1;1;5;4;4;2;4;4;3;5;5;3;1;2;4;3;1;3;3;3;4;3;4;5;4;3;4;5;5;4;1;4;3;4;1;6;5;4;5;4;4;2;3;5;3;3;4;6;4;5;3;4;5;3;6;3;3;4;1;;10;1;;12, 31;
EBMq2WL5fps-HLid_ouYKJ5Vpy4EX8BNhfkhlSOpBPYXoCcCET1rWwBvFKIdkMEf;10.03.2019 19:32;13.03.2019 23:12;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XBGtbFMHbz29KJgj9zyNsuso63uPxSam7boGs9oE70pWYEyfXLX87r5T2nlD8_QS;10.03.2019 21:23;10.03.2019 21:25;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hw34-A4Hw-0IvtuNfg2zhQDFt704m63hquQcCjvreqEEbBbNraMc2mNHCFGdKWES;11.03.2019 08:54;11.03.2019 09:00;;;1;;;;3;;5;;2;;1;;1;;;;;;;2;6;;5;;;;;4;;;5;;2;6;;;6;4;2;3;2;;6;;6;;;;5;;6;;1;5;5;;4;2;6;2;;;;1;6;2;6;6;;;;;;;
qCEeGhkk-fOeLfBJZ_Ylo7EPEJc6s4cdzYqGfCfhQ0bUfP8LYx6lfyOPACHx_Nrw;11.03.2019 11:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ri_GTOG4Ll7vtHk4xipXNH138edCwYHNREDv67bgwZ8ZKd9pV--Wdg-s2krf0B5p;11.03.2019 14:38;11.03.2019 15:01;11.03.2019 15:01;;1;4;3;4;4;2;2;4;2;2;3;3;5;4;4;5;4;2;4;4;5;4;3;3;3;5;4;2;4;5;4;3;4;5;4;4;4;5;4;4;3;5;5;5;5;5;3;3;5;3;5;5;5;5;3;4;4;4;4;4;4;6;4;3;6;3;5;4;1;;10;1;;27;
JWiNyMQguiGBkBpB12V8o8-qGAso-dPaODG3zzq8oqvQrd64ha47LEeoJ4joaMCB;11.03.2019 17:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EFtTdIHAR-X14AENanz2jK2263PU844VSN5Mv7bM8gj2yTW1D178L0WIYV8utSlc;11.03.2019 19:45;11.03.2019 19:45;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xp4bpHKPbQSGCh1gTx-yjYBhvHTPieVaSgqwKcpHvZXDyxAPJu6oil_7xczjUlRi;11.03.2019 22:06;11.03.2019 22:13;;;1;3;4;;;;1;;2;;;;3;;2;2;;;4;;;;;3;4;;4;;;2;5;4;;5;;4;;4;5;;2;3;;3;2;;4;6;;3;;;;;3;5;;2;5;2;4;;;;;5;3;;;;;;;;
UVGec9Wczt1BZN_Ivijf-ZkBS599ccwSKzxtO8ObGkuwEYqoKwub7m1-I41TIzht;12.03.2019 09:47;13.03.2019 10:44;13.03.2019 10:44;;1;5;1;2;2;1;1;1;2;1;1;1;2;2;5;5;2;1;5;5;5;5;1;2;5;5;5;5;5;5;6;5;5;4;4;5;3;5;4;5;3;2;1;6;5;4;4;5;5;6;5;3;5;5;6;3;5;4;5;1;4;6;2;1;6;3;6;5;1;;6;7;;4, 12, 40;
X1VCcZ0bW1lwCksiX03cNFT_WfhDgYFrhut2nzAkwBhXE_5WHGQdfDPvhbkozOZ5;12.03.2019 11:59;12.03.2019 12:34;;;1;;2;;2;1;;;1;1;;1;2;3;;;;1;5;;;;;;;;;4;;;4;;;2;4;4;;4;5;4;3;4;4;;4;;4;4;;4;;5;;;;4;;;4;4;;;3;3;6;3;;;;;;;;;
zrwW1UOFPRcwviLNkxXdmQNsiYIkS4a_x2DxBp3lx4xvbmnVWvYeYiiJPSgngQta;12.03.2019 14:16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07WsNzkU89wGHFsD2MuNcuAloDP6iRoqVz5HehjIhwq7-J3p43ERVX4kr8mmfM7z;13.03.2019 13:50;13.03.2019 14:07;13.03.2019 14:07;;1;2;2;2;3;1;5;1;2;1;1;2;2;4;6;5;4;3;5;2;4;5;4;5;6;4;2;5;2;5;5;4;4;4;5;4;5;6;6;4;2;6;5;6;2;2;5;6;4;5;5;6;3;5;2;3;4;5;3;2;4;6;5;1;4;4;4;4;1;;7;1;;12;
AtJqf0fVvZjngM7fiiDOTKy15SDD67_fRIRwb6iCyOUF2pKVco6xFLIrcEJAEyIH;13.03.2019 14:44;13.03.2019 15:04;13.03.2019 15:04;;1;2;4;4;4;1;1;4;1;1;1;2;4;4;5;3;5;2;6;5;5;4;2;5;4;5;5;4;3;5;6;2;3;3;6;3;4;5;5;5;3;5;4;6;4;4;4;4;5;5;5;5;4;4;5;3;4;4;4;2;5;5;2;2;5;2;6;5;1;;8;1;;10, 11, 12, 15;
hzWuFCsNC7t2jrtqHmanFm8Z89PCvPaT-XHjzCq3_j03d-_eGbhQW1IgH6TqtrXq;14.03.2019 15:50;14.03.2019 16:30;14.03.2019 16:30;;1;2;2;5;5;1;2;3;2;1;1;1;2;2;4;4;4;4;5;5;5;4;5;3;4;3;4;4;4;5;5;2;4;4;6;5;5;5;4;6;4;3;4;5;5;5;2;2;4;5;5;5;6;3;4;4;4;4;4;5;4;5;3;4;6;;5;3;2;;8;5;;4, 23, 42, 48, 49, 50, 51;
nEvGNEoFr5iG1BVhPMCmxWi5QIrG0Lzwe8-nsnz0kyyB8tryUzoyX4Wczxk5TQOA;16.03.2019 08:49;16.03.2019 08:49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UMyqDyUw36Y5nBDuL7yw210uqacuWxs65WW-gRkr_SRvrygWUV64if_1hvJH7Cdp;17.03.2019 00:41;17.03.2019 01:05;17.03.2019 01:05;;1;2;4;4;4;1;1;3;1;1;1;1;6;6;5;1;5;2;3;5;4;5;1;4;4;4;3;4;6;5;6;5;5;5;5;2;4;5;2;5;3;3;3;2;5;1;3;6;6;5;2;4;5;5;5;4;2;3;5;3;5;6;4;2;5;1;4;6;1;;10;1;;1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52;
Mv3bdS5HqahLM18UbnSKn89p-EZFCREBlRqriBnf7vMstGzHs06dpHZVar7FaNTU;17.03.2019 17:39;17.03.2019 17:48;17.03.2019 17:48;;1;4;5;4;5;2;1;4;3;2;2;3;2;3;4;3;4;3;5;5;5;4;2;3;3;4;4;4;3;4;6;4;4;5;5;4;4;5;5;5;4;3;5;5;5;5;3;3;5;4;5;5;4;4;5;4;5;3;4;2;5;5;4;3;6;5;5;5;1;;2;1;;12, 35;
Rx7Huwd4CpmlMr1l-mo_1_YaOOXZK1v27tc8l61YlvIMmu0DqahUOsfAI6IBHG1N;17.03.2019 17:53;17.03.2019 18:03;17.03.2019 18:03;;1;4;2;2;5;1;1;3;3;2;1;1;3;3;4;4;4;1;2;6;6;5;2;5;4;5;3;5;4;5;6;5;5;4;5;1;4;4;3;4;4;2;2;5;3;6;6;6;5;6;4;5;3;4;3;2;6;1;4;2;5;4;2;3;6;3;5;3;1;;2;1;;45;
fqJ0MSRJFHmkFmA71sIC4mxNb3rQ7qvsV5IRZ1Gn_SPPd4L6aGtFoV-e8GPHTg8o;17.03.2019 17:57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rx7Huwd4CpmlMr1l-mo_1_YaOOXZK1v27tc8l61YlvIMmu0DqahUOsfAI6IBHG1N;17.03.2019 18:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87UxWekCugDuv5zmSs-PhbWcrjSQIgkjgO_cZUZRSHINeGq934CR6SDLD_hCGHoh;17.03.2019 18:33;17.03.2019 18:48;17.03.2019 18:48;;1;4;2;1;2;1;1;5;2;1;1;1;2;4;4;5;4;1;1;5;6;4;1;5;2;6;5;5;6;4;6;6;3;4;4;2;2;1;4;2;2;6;5;5;4;2;6;5;4;6;5;4;4;3;3;4;5;3;5;4;6;6;4;2;6;2;5;6;1;;2;7;;39, 40;
JxpaD790NrwJm_spr7n049hbnReR-jNmueluaprja0g-s5Yjsudzp9k7NV8Z63OL;17.03.2019 18:38;17.03.2019 18:42;17.03.2019 18:42;;1;4;2;4;3;5;3;2;2;5;4;3;4;4;3;4;4;4;5;3;4;4;4;;4;5;3;4;5;5;3;4;4;5;4;3;4;3;4;5;2;5;4;4;2;3;4;5;4;3;6;3;2;4;4;4;4;4;4;5;2;4;2;3;4;3;4;3;1;;2;5;;18, 31;
Dx-uqMpxOZ_ZRzXxwRtVZwwb_nKBNicNYUzATJHtD6_FgaBrHSO6BicSM_f8zgd3;17.03.2019 18:44;17.03.2019 18:45;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mSa5phvb4jcWMpLwvtrUM1UWzXNqB_vMzfSSI-yEFzGdyAW36cpKVUvicGXP8ikh;17.03.2019 19:10;17.03.2019 19:14;17.03.2019 19:14;;1;4;5;5;4;4;5;5;6;2;3;4;5;4;5;5;5;5;5;5;4;5;5;5;4;4;5;4;5;4;5;5;5;3;4;4;4;3;5;4;4;5;4;4;4;4;5;3;5;3;2;4;4;5;6;5;4;4;5;5;5;4;5;5;4;5;2;5;1;;2;1;;12;
WIU04YoHnpRIUJy9bTFJeddhOBGIa_f6e7qHMwmWOcVD8z1TW5t475igsGcq1D1H;17.03.2019 19:12;17.03.2019 19:13;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mSa5phvb4jcWMpLwvtrUM1UWzXNqB_vMzfSSI-yEFzGdyAW36cpKVUvicGXP8ikh;17.03.2019 19:14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4Qu_DuvgxNF7zXN8ZYGl_TJSjOXl3P3s_XIvVPQik2RBb9VBD28jY7SAAt3zhfNG;17.03.2019 20:20;17.03.2019 20:43;17.03.2019 20:43;;1;4;4;2;4;1;1;6;1;1;1;1;5;5;3;3;4;2;3;6;5;5;2;5;6;5;4;2;6;6;6;5;6;5;6;4;5;6;6;3;4;6;6;6;5;6;4;6;6;6;5;6;1;5;5;6;5;2;5;;4;6;3;2;6;2;6;5;1;;2;7;;31, 43;
2ItTRb9g5MfhE69t2cmE1yMyZDinXMWrus4t436mZCKKM8teklXMmIdFBR79YIsy;17.03.2019 21:31;17.03.2019 21:32;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sDr_LLNLc1r27WC53TOJDE78MoMUFfwXNeD1S1EdH9TERjLgmRZZVGrVvvvVfoHm;17.03.2019 22:36;17.03.2019 22:48;17.03.2019 22:48;;1;2;3;4;3;4;1;3;2;2;2;2;4;5;4;2;4;5;2;5;5;4;2;3;4;4;3;5;4;4;6;4;5;5;4;4;5;2;5;3;3;5;4;5;4;5;5;3;6;3;3;5;5;5;4;2;4;3;5;4;4;5;2;3;5;4;5;5;1;;2;7;;11, 17;
3VWCzE7pKs_xBvqIJC5vUdMkEZNx1d1N8S8dK-txb2WT7cjsBKj3zFkDcoq0WnpC;18.03.2019 00:06;18.03.2019 00:19;18.03.2019 00:19;;1;3;2;2;2;1;3;4;2;1;1;1;2;3;3;5;2;3;3;5;5;5;1;3;5;3;3;4;3;2;4;4;5;4;4;4;4;4;4;4;4;3;3;5;4;4;5;4;5;4;4;4;4;3;4;4;4;3;4;3;4;5;5;3;5;6;5;5;1;;2;5;;5, 12;
7bq993hM_octV4K7vFRLbaYti01JfhWehmE_Nhu065Hl1i5I25hXZZrVjNb4PhU9;18.03.2019 08:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MuD360skToeaZ_49cp7WApG3-CdQ_McMQVQpXKgPY2WmhwaXDeNHUNqc25OUXSYH;18.03.2019 09:04;18.03.2019 09:11;;;1;3;5;;;2;;;4;;;1;5;3;;4;;1;;3;;3;;4;4;;4;4;;;5;4;;;2;2;4;1;2;;;;;;3;5;;;;4;;;4;;5;;3;;;4;3;;;;6;3;;3;;;;;;;
XquMdrx-AqJ0Qk-SjqdxsUBUfaJ5Yf-KGZQzTs06brkgSkEsIaYFQaGIFh3V29Og;18.03.2019 09:21;18.03.2019 09:38;18.03.2019 09:38;;1;4;3;4;3;2;2;4;2;3;4;5;5;5;5;4;4;3;5;2;6;5;2;2;3;4;3;4;3;3;6;4;4;5;5;5;6;5;4;5;6;5;5;5;4;6;6;4;5;3;4;4;6;5;4;3;6;5;5;4;6;5;4;5;6;4;4;4;1;;2;1;;12, 15;
Pp9UOw6AlxKzFOsUyuX1OX7aWwdGHzYLKPWTF3a-4MGdudNNTV-xCvpIy-VfBhoB;18.03.2019 09:40;18.03.2019 16:05;18.03.2019 16:05;;1;5;3;3;2;2;3;3;3;1;2;2;4;4;4;3;4;2;4;4;4;4;4;3;4;4;4;4;3;3;4;5;4;3;3;3;3;3;4;4;2;3;4;4;2;2;2;3;5;3;2;2;5;3;3;3;2;3;5;3;3;5;3;2;4;3;3;3;1;;2;1;;15;
69GU9kWbXoSrY_RLm39MXi8UG0qm4aJfYtjIKUUNFeOzpf_GwfgnbMVjVdXcNUVE;18.03.2019 09:44;20.03.2019 23:29;20.03.2019 23:29;;1;5;4;5;4;5;1;5;5;1;1;5;4;5;4;4;5;4;2;4;;4;3;5;6;5;5;5;4;6;6;4;5;5;5;;6;5;3;4;4;5;5;6;6;5;3;5;5;2;6;5;4;5;6;4;6;3;6;5;4;5;5;4;6;5;6;5;1;;2;3;;20, 31;
rE3cIwdndhuLhSuFx4Vzcn1t7-FjnNcdQ3vneBaCFpPsJgHcX0VNGDC08TGOmHR_;18.03.2019 10:47;18.03.2019 10:53;;;1;;2;2;;1;1;3;2;2;2;2;;3;;3;3;5;;4;5;;1;;5;4;;;3;;;4;4;4;;;4;4;;;2;3;3;2;3;2;4;4;3;5;4;4;4;6;4;5;5;3;;4;5;4;5;4;3;5;;3;;;;;;;
